Region,mean_proba_high_rf,rank
South Asia,0.9994002747252747,1
Middle East & North Africa,0.9919297309833023,2
Sub-Saharan Africa,0.981577027139527,3
Southeast Asia,0.8272066407017534,4
Eastern Europe,0.3423392553804257,5
Western Europe,0.1909934944406786,6
South America,0.09920114348323718,7
North America,0.04025389928698752,8
East Asia,0.016979877361501788,9
Central Asia,0.002081632653061225,10
Central America & Caribbean,0.0013214285714285717,11
Australasia & Oceania,0.0003348214285714286,12
